#x_m,y_m,z_m
-432.533860,-197.697601,14.139568
-428.572601,-194.844927,14.137006
-425.062487,-191.544933,14.147119
-421.967752,-187.732905,14.163731
-418.930211,-183.885575,14.175505
-416.272298,-179.701031,14.181017
-413.984105,-175.283428,14.165180
-411.939820,-170.744987,14.149406
-409.944195,-166.187973,14.134870
-408.184874,-161.566063,14.126748
-406.650091,-156.857667,14.123041
-405.246823,-152.089962,14.120000
-404.081645,-147.248692,14.120000
-403.328505,-142.355491,14.120000
-402.796928,-137.457359,14.119262
-402.660971,-132.511389,14.112121
-402.745341,-127.553061,14.103976
-403.518372,-122.678304,14.093977
-404.536274,-117.836208,14.088959
-405.635042,-113.013682,14.083034
-407.260238,-108.353739,14.065932
-409.263213,-103.849921,14.049685
-411.480852,-99.443816,14.039102
-414.095411,-95.237787,14.032465
-416.848123,-91.095825,14.026185
-419.664186,-86.997413,14.018665
-422.806036,-83.110627,14.014303
-425.972522,-79.243755,14.010460
-429.178734,-75.408436,14.018381
-432.396687,-71.582613,14.034849
-435.628381,-67.767675,14.046638
-438.869323,-63.960383,14.059028
-442.119115,-60.160657,14.060939
-445.373312,-56.364677,14.060846
-448.622798,-52.564635,14.067450
-451.867162,-48.760232,14.075740
-455.102473,-44.948089,14.081308
-458.334832,-41.133404,14.083125
-461.567149,-37.318684,14.084941
-464.799659,-33.504126,14.086757
-468.041243,-29.697332,14.088573
-471.273717,-25.882783,14.090390
-474.504154,-22.066496,14.092206
-477.740073,-18.254873,14.096588
-480.983033,-14.449224,14.102281
-484.230256,-10.647239,14.112836
-487.477478,-6.845254,14.123392
-490.730913,-3.048588,14.136972
-493.989542,0.743553,14.163387
-497.247523,4.536243,14.188246
-500.505228,8.329137,14.219911
-503.759874,12.124512,14.263187
-507.011968,15.922036,14.311313
-510.266604,19.717460,14.354606
-513.518977,23.514819,14.397849
-516.765621,27.316990,14.446050
-520.004811,31.125383,14.503088
-523.242802,34.934700,14.565346
-526.483413,38.741095,14.656201
-529.726561,42.544835,14.764515
-532.969773,46.349112,14.857694
-536.213915,50.152671,14.948755
-539.458057,53.956229,15.039816
-542.702199,57.759788,15.130876
-545.944195,61.565037,15.227262
-549.185454,65.370999,15.319283
-552.424270,69.179312,15.397321
-555.662703,72.988004,15.472864
-558.903938,76.794319,15.547802
-562.146940,80.599171,15.620196
-565.395464,84.399390,15.688087
-568.640028,88.203221,15.745190
-571.879972,92.010811,15.811412
-575.113531,95.823681,15.883730
-578.306452,99.669345,15.935946
-581.477575,103.532798,15.976248
-584.649909,107.395207,16.016895
-587.789811,111.280766,16.048491
-590.836033,115.238835,16.067452
-593.760512,119.278483,16.080647
-596.423811,123.476752,16.103984
-598.903406,127.786080,16.132535
-601.220654,132.185462,16.146134
-603.476156,136.609066,16.155180
-605.619797,141.094689,16.167650
-607.572292,145.673985,16.180351
-609.244413,150.383565,16.176566
-610.865776,155.112082,16.164985
-612.461176,159.850371,16.150927
-614.059513,164.587686,16.133982
-615.657902,169.324984,16.116986
-617.227539,174.072114,16.092219
-618.790699,178.821407,16.067304
-620.353858,183.570701,16.042389
-621.917017,188.319994,16.017474
-623.480129,193.069287,15.990709
-625.047059,197.817267,15.958249
-626.620602,202.563049,15.924543
-628.194717,207.308653,15.892049
-629.766172,212.055155,15.861531
-631.334208,216.802759,15.827628
-632.901253,221.550627,15.788696
-634.471810,226.296945,15.719711
-636.039087,231.044516,15.662011
-637.603053,235.793385,15.619345
-639.167018,240.542253,15.576680
-640.736328,245.289428,15.539555
-642.306138,250.036434,15.501788
-643.875752,254.783472,15.459652
-645.442044,259.531545,15.411325
-647.006885,264.280059,15.358204
-648.573138,269.028151,15.310019
-650.146336,273.773851,15.260716
-651.713688,278.521641,15.223066
-653.278476,283.270337,15.189552
-654.841668,288.019434,15.146132
-656.403856,292.768727,15.095450
-657.960451,297.519991,15.049577
-659.521021,302.269928,15.001339
-661.084103,307.019067,14.955753
-662.655911,311.765351,14.915131
-664.226897,316.511900,14.878863
-665.783681,321.262930,14.845782
-667.349541,326.010207,14.785540
-668.895162,330.763744,14.730579
-670.402402,335.528840,14.662364
-671.383830,340.355856,14.621124
-671.785655,345.194029,14.560893
-671.437369,349.896169,14.504803
-670.312274,354.152653,14.441591
-668.444387,358.086264,14.404104
-665.382873,361.128774,14.358552
-661.801068,363.497198,14.308613
-657.638448,364.615896,14.273330
-653.353396,364.884432,14.240000
-648.906531,364.154195,14.228621
-644.402184,362.826847,14.198966
-639.905863,360.875260,14.201268
-635.605897,358.395122,14.192706
-631.387937,355.723742,14.182113
-627.308960,352.846076,14.196650
-623.274814,349.904944,14.208095
-619.322961,346.851247,14.219256
-615.440185,343.715453,14.237536
-611.638442,340.476692,14.258662
-607.853440,337.215545,14.276912
-604.079002,333.943180,14.296359
-600.416502,330.548200,14.321128
-596.898467,327.000903,14.348182
-593.449005,323.389343,14.373148
-590.003908,319.773678,14.398363
-586.667311,316.058886,14.429996
-583.382819,312.301600,14.465147
-580.098326,308.544315,14.500298
-576.888533,304.723072,14.537526
-573.897475,300.726123,14.577423
-570.953657,296.687342,14.617252
-568.067615,292.610512,14.661739
-565.249945,288.488997,14.713525
-562.456366,284.350609,14.768525
-559.796256,280.122813,14.841253
-557.266683,275.812917,14.923196
-554.737943,271.501708,14.996684
-552.216129,267.186395,15.069202
-549.729784,262.850151,15.137457
-547.281936,258.490833,15.201425
-544.834088,254.131515,15.265394
-542.387800,249.771353,15.329918
-539.947152,245.408033,15.393172
-537.513409,241.040704,15.443403
-535.082934,236.671455,15.482872
-532.648231,232.304547,15.519697
-530.214103,227.937229,15.545697
-527.780357,223.569700,15.571678
-525.348038,219.201355,15.594457
-522.922287,214.829272,15.597339
-520.485358,210.463498,15.590366
-518.049308,206.097235,15.583402
-515.614852,201.730177,15.559843
-513.179919,197.363385,15.527769
-510.744319,192.996905,15.499698
-508.314437,188.627272,15.463717
-505.883378,184.258362,15.417623
-503.448522,179.891605,15.367396
-501.013459,175.524947,15.319475
-498.579990,171.157663,15.260349
-496.146956,166.790537,15.182827
-493.708904,162.426816,15.080237
-491.266061,158.066272,14.954412
-488.817171,153.709395,14.821087
-486.366355,149.353066,14.709536
-483.921582,144.993409,14.596466
-481.447673,140.650674,14.500394
-478.961440,136.314363,14.438915
-476.440871,131.998159,14.394754
-473.902393,127.692645,14.351958
-471.291235,123.436181,14.311343
-468.613172,119.223747,14.276310
-465.852358,115.064178,14.253116
-462.909989,111.034855,14.238236
-459.823345,107.119338,14.229220
-456.630010,103.303248,14.214723
-453.246144,99.651932,14.178475
-449.750866,96.113889,14.153466
-446.142979,92.688273,14.135450
-442.344549,89.482485,14.119589
-438.297955,86.614844,14.111377
-434.188572,83.817922,14.107794
-429.998923,81.134701,14.104211
-425.735265,78.589478,14.100629
-421.353723,76.217573,14.100000
-416.906100,73.979702,14.100000
-412.298895,72.086068,14.100000
-407.691691,70.192434,14.100000
-403.084486,68.298801,14.100000
-398.477282,66.405167,14.100000
-393.777317,64.827204,14.100000
-388.900543,63.801604,14.100000
-384.003733,62.890394,14.100000
-379.098745,62.077989,14.100000
-374.150712,61.601106,14.100000
-369.172872,61.354958,14.100000
-364.191027,61.132812,14.100000
-359.211944,61.126281,14.100000
-354.236067,61.428577,14.100000
-349.273628,61.865741,14.100000
-344.326239,62.462779,14.100000
-339.421388,63.290316,14.101572
-334.569190,64.328464,14.105417
-329.765431,65.675547,14.109262
-324.990938,67.140332,14.113107
-320.289490,68.791137,14.127286
-315.613793,70.499419,14.144009
-311.011947,72.390110,14.164880
-306.525651,74.507434,14.187822
-302.326198,77.106526,14.228913
-298.166384,79.806054,14.284193
-294.068833,82.619340,14.336096
-289.995019,85.475393,14.386755
-286.083574,88.554466,14.454877
-282.274971,91.763845,14.534609
-278.508149,95.017973,14.608904
-274.869544,98.405175,14.668843
-271.301588,101.877541,14.736532
-268.033461,105.627949,14.813294
-264.808264,109.417146,14.896623
-261.718185,113.303936,14.987141
-258.960874,117.447915,15.063796
-256.367738,121.708613,15.122352
-253.862669,126.027021,15.192279
-251.357601,130.345429,15.262206
-248.920298,134.703677,15.332525
-246.644323,139.152245,15.411566
-244.384961,143.609898,15.491413
-242.124093,148.066986,15.562959
-239.862554,152.523823,15.630807
-237.666242,157.014416,15.698253
-235.497293,161.519053,15.756174
-233.334047,166.026530,15.806795
-231.170864,170.533875,15.864028
-229.008217,175.041143,15.934826
-226.852053,179.551989,15.987617
-224.678187,184.053949,16.051471
-222.487268,188.547386,16.117386
-220.229852,193.006980,16.179163
-217.939585,197.446604,16.242793
-215.480737,201.782387,16.314088
-212.795288,205.978641,16.385936
-210.050263,210.143132,16.427719
-207.217845,214.242905,16.469764
-204.247533,218.225412,16.518588
-200.901306,221.865208,16.541520
-197.425014,225.378611,16.561175
-193.705015,228.659588,16.582759
-189.794003,231.695839,16.598067
-185.695751,234.511589,16.600000
-181.383237,236.943686,16.600000
-176.996369,239.265315,16.600000
-172.501402,241.365991,16.600000
-167.853680,243.098506,16.600000
-163.099348,244.539180,16.594489
-158.296808,245.776417,16.578978
-153.449956,246.759376,16.570594
-148.506246,247.283968,16.543462
-143.552072,247.584514,16.508081
-138.600319,247.480611,16.459020
-133.635568,247.208772,16.398887
-128.709474,246.705770,16.308955
-123.834868,245.852248,16.217651
-119.045412,244.569089,16.111034
-114.278780,243.176450,16.002374
-109.648073,241.420810,15.897031
-105.113061,239.412701,15.780651
-100.751308,237.069523,15.660111
-96.482227,234.538971,15.557391
-92.352157,231.805606,15.468018
-88.484608,228.717024,15.369661
-84.763726,225.437579,15.248239
-81.129231,222.057360,15.123025
-77.876251,218.312785,15.023704
-74.759854,214.454092,14.933970
-71.784710,210.470624,14.846914
-69.191919,206.235972,14.768922
-66.700609,201.932303,14.691165
-64.329357,197.545155,14.618149
-62.057363,193.098160,14.559114
-59.888413,188.595392,14.513184
-57.771058,184.066663,14.471951
-55.686710,179.522003,14.434093
-53.602699,174.977172,14.398967
-51.518670,170.432335,14.366143
-49.434641,165.887497,14.333319
-47.348029,161.343877,14.300740
-45.227955,156.816635,14.275687
-43.064458,152.311409,14.260674
-40.888732,147.813180,14.247502
-38.577393,143.390883,14.227797
-36.107020,139.083563,14.210530
-33.331017,135.008782,14.201371
-30.298488,131.192038,14.200000
-26.659675,128.089032,14.200000
-22.717921,125.406704,14.200000
-18.632388,123.156989,14.200000
-14.247772,121.902068,14.200000
-9.525126,121.605496,14.200000
-4.796163,122.021646,14.200000
-0.223739,123.443699,14.200000
4.114360,125.159619,14.200000
8.172283,127.421423,14.200000
12.009594,130.205316,14.200000
15.572586,133.598861,14.200000
18.937052,137.275317,14.200000
22.276820,140.978155,14.200000
25.426904,144.860459,14.200000
28.564172,148.753646,14.200000
31.702874,152.645676,14.200000
34.841474,156.537261,14.200000
37.952991,160.449968,14.200000
41.046790,164.376973,14.200000
44.102980,168.331626,14.200000
47.122539,172.312551,14.200000
50.143027,176.292730,14.200000
52.896801,180.424709,14.200000
54.812865,184.850390,14.200000
56.352036,189.443990,14.200000
57.449438,194.158224,14.200000
57.303601,198.774507,14.200000
56.874087,203.427413,14.200000
55.842690,208.059927,14.200000
54.414161,212.626459,14.200000
52.529443,217.132490,14.200000
50.292491,221.590707,14.200000
47.997288,226.017597,14.200000
45.697947,230.442261,14.200000
43.332093,234.834607,14.200000
40.810353,239.152086,14.200000
38.287844,243.469118,14.200000
35.760302,247.783224,14.200000
33.232795,252.097352,14.200000
30.703892,256.410660,14.200000
28.175044,260.724000,14.200000
25.643510,265.035758,14.200000
23.111641,269.347319,14.200000
20.579431,273.658669,14.200000
18.040961,277.966328,14.200000
15.508238,282.277385,14.200000
12.971267,286.585942,14.200000
10.433743,290.894163,14.200000
7.906425,295.208353,14.200000
5.389704,299.528750,14.200000
2.874071,303.849783,14.200000
0.360522,308.172024,14.200000
-2.147991,312.497176,14.200000
-4.654647,316.823407,14.200000
-7.176600,321.140731,14.200000
-9.709059,325.451937,14.200000
-12.242354,329.762658,14.200000
-14.769733,334.076858,14.200000
-17.296216,338.391582,14.200000
-19.824096,342.705483,14.200000
-22.352911,347.018839,14.200000
-24.881913,351.332088,14.200000
-27.407147,355.647538,14.200000
-29.929642,359.964576,14.198452
-32.456733,364.278931,14.193460
-34.984322,368.592995,14.188468
-37.512878,372.906491,14.183476
-40.041999,377.219625,14.184328
-42.576790,381.529357,14.198582
-45.114573,385.837324,14.212837
-47.652792,390.145075,14.216432
-50.188081,394.454582,14.209260
-52.715566,398.768670,14.202089
-55.237579,403.085997,14.200000
-57.760969,407.402530,14.200000
-60.288021,411.716918,14.200000
-62.815141,416.031266,14.200000
-65.343030,420.345164,14.200000
-67.871966,424.658450,14.200000
-70.399402,428.972617,14.200000
-72.928060,433.286067,14.200000
-75.458738,437.598333,14.200000
-77.990797,441.909789,14.200000
-80.522159,446.221653,14.200000
-83.052262,450.534256,14.200000
-85.582003,454.847071,14.200000
-88.111545,459.160004,14.200000
-90.641092,463.472933,14.200000
-93.170779,467.785779,14.200000
-95.699858,472.098980,14.200000
-98.229389,476.411917,14.200000
-100.759685,480.724406,14.200000
-103.289905,485.036939,14.200000
-105.818843,489.350224,14.200000
-108.345188,493.665030,14.200000
-110.872669,497.979169,14.200000
-113.404491,502.290757,14.200000
-115.936769,506.602077,14.200000
-118.472142,510.911581,14.200000
-121.004823,515.222667,14.200000
-123.537903,519.533486,14.200000
-126.073012,523.843084,14.200000
-128.607271,528.153221,14.200000
-131.142013,532.463086,14.200000
-133.682275,536.769703,14.200000
-136.225297,541.074696,14.200000
-138.766354,545.380784,14.205927
-141.316351,549.681291,14.244305
-143.855752,553.987840,14.289353
-146.421356,558.278549,14.356804
-148.985458,562.570382,14.421495
-151.537682,566.869296,14.485334
-154.085517,571.170731,14.558365
-156.646504,575.462978,14.647018
-159.206250,579.757073,14.708674
-161.776765,584.043525,14.824236
-164.346688,588.330980,14.926972
-167.046266,592.527216,15.032350
-170.058188,596.399536,15.152147
-173.643637,599.513981,15.328166
-177.543822,601.607728,15.512396
-181.473215,602.767867,15.663874
-185.632206,602.763504,15.845942
-189.918254,601.678157,16.021482
-194.094368,599.967544,16.171704
-198.086588,597.234471,16.337181
-201.647689,593.837571,16.492657
-205.075396,590.267502,16.661376
-208.330747,586.501559,16.839527
-211.578338,582.714753,17.010271
-214.902395,579.067669,17.176554
-218.615805,576.149497,17.285726
-222.497591,573.432711,17.345185
-226.600686,570.924031,17.367415
-230.917669,568.805792,17.379625
-235.349425,567.110638,17.391835
-239.956637,565.885460,17.400000
-244.747750,565.487755,17.400000
-249.611598,565.568604,17.400000
-254.138900,566.917746,17.400000
-258.466906,568.667760,17.400000
-262.620181,570.954414,17.400000
-266.620028,573.663593,17.392000
-270.177657,577.118163,17.361667
-273.610683,580.675062,17.342355
-276.880984,584.370578,17.320938
-279.910767,588.295112,17.283991
-282.705748,592.389467,17.255433
-285.149925,596.708450,17.227909
-287.390925,601.141567,17.187473
-289.443586,605.653415,17.146296
-291.151228,610.314589,17.107421
-292.617476,615.054278,17.073033
-293.744168,619.894598,17.032920
-294.713012,624.763272,16.997343
-295.397946,629.687675,16.968250
-295.844450,634.633532,16.943470
-295.952218,639.588291,16.908944
-295.742829,644.544669,16.869227
-295.245003,649.471108,16.819843
-294.353761,654.363807,16.778040
-293.218716,659.172869,16.745249
-291.756452,663.889503,16.700750
-290.104993,668.533390,16.659095
-288.160615,673.075456,16.608429
-285.932786,677.514056,16.568309
-283.564424,681.855808,16.529633
-280.972119,686.044297,16.490882
-278.076538,690.036040,16.430695
-274.856843,693.787204,16.392210
-271.278287,697.192260,16.351352
-267.668127,700.560060,16.307792
-263.819072,703.671121,16.262134
-259.615671,706.258342,16.216783
-255.279387,708.626749,16.186034
-250.815349,710.815671,16.158631
-246.299194,712.862929,16.131851
-241.713629,714.747287,16.100759
-236.963698,716.244382,16.067785
-232.117207,717.392833,16.022657
-227.238405,718.371112,15.980975
-222.319368,719.127936,15.935546
-217.382521,719.768114,15.888999
-212.431350,720.201404,15.847088
-207.472772,720.553982,15.804038
-202.490344,720.407038,15.757065
-197.511114,720.235119,15.709417
-192.566384,719.696788,15.663516
-187.643703,718.989790,15.624424
-182.729441,718.144308,15.582169
-177.825445,717.254275,15.539567
-173.003563,716.057689,15.492025
-168.252621,714.551349,15.447845
-163.572257,712.844145,15.397141
-158.964252,710.962900,15.343914
-154.390535,709.004062,15.298064
-149.951577,706.739654,15.274502
-145.581256,704.363358,15.243913
-141.316995,701.813102,15.206871
-137.151633,699.086234,15.166811
-133.064876,696.256363,15.128470
-129.200260,693.128232,15.087936
-125.531941,689.755282,15.057891
-121.909253,686.325440,15.034856
-118.426021,682.770665,15.022481
-115.039861,679.135714,15.011071
-111.768536,675.393596,15.003239
-108.676835,671.490711,15.000000
-105.739083,667.451762,15.000000
-102.817001,663.402343,14.998625
-99.959064,659.306345,14.989385
-97.206205,655.135417,14.970974
-94.506460,650.927070,14.950837
-91.806950,646.718535,14.935928
-89.105371,642.511296,14.926289
-86.414081,638.297433,14.916765
-83.721516,634.084382,14.909828
-81.027633,629.872169,14.905066
-78.337734,625.657408,14.900304
-75.641695,621.446576,14.898690
-72.940860,617.238836,14.890288
-70.238738,613.031965,14.870281
-67.536966,608.824861,14.851315
-64.835164,604.617780,14.830711
-62.132777,600.411091,14.806345
-59.432066,596.203332,14.781582
-56.742599,591.988394,14.753351
-54.063501,587.766957,14.715176
-51.383204,583.546262,14.677935
-48.698478,579.328319,14.644928
-46.009604,575.113038,14.609922
-43.318140,570.899384,14.577659
-40.625807,566.686257,14.550934
-37.937307,562.470671,14.526571
-35.245604,558.257108,14.509367
-32.552010,554.044821,14.483297
-29.850251,549.837844,14.445027
