# x_m,y_m
-447.612422,944.681573
-448.177435,949.648774
-448.827630,954.605556
-449.551026,959.552199
-450.335777,964.489494
-451.170074,969.418668
-452.042144,974.341304
-452.940229,979.259261
-453.852535,984.174587
-454.766865,989.089531
-455.670393,994.006472
-456.550140,998.927712
-457.392981,1003.855392
-458.185617,1008.791379
-458.914528,1013.737157
-459.565969,1018.693709
-460.125915,1023.661406
-460.580270,1028.639839
-460.915630,1033.627681
-461.120327,1038.622698
-461.185655,1043.621438
-461.102510,1048.619869
-460.860650,1053.613062
-460.449609,1058.595095
-459.859296,1063.558748
-459.079485,1068.496274
-458.095922,1073.395970
-456.893066,1078.247890
-455.441325,1083.033600
-453.637184,1087.692852
-451.522711,1092.224492
-449.208058,1096.651933
-446.693717,1100.972080
-443.982928,1105.173250
-441.089960,1109.250050
-438.034629,1113.206724
-434.835160,1117.047776
-431.508251,1120.779125
-428.066435,1124.405049
-424.519586,1127.928322
-420.877039,1131.352585
-417.147407,1134.681846
-413.338568,1137.919966
-409.457979,1141.071334
-405.514993,1144.144357
-401.520222,1147.150033
-397.479702,1150.093933
-393.396704,1152.978640
-389.273974,1155.806276
-385.114125,1158.579019
-380.919660,1161.299117
-376.692986,1163.968893
-372.436410,1166.590736
-368.152153,1169.167101
-363.842349,1171.700502
-359.509053,1174.193503
-355.154237,1176.648744
-350.779797,1179.068885
-346.387289,1181.456049
-341.977754,1183.811581
-337.552052,1186.136605
-333.111038,1188.432254
-328.655503,1190.699583
-324.186155,1192.939585
-319.703665,1195.153169
-315.208674,1197.341092
-310.702003,1199.504900
-306.185737,1201.648841
-301.662581,1203.778143
-297.134432,1205.896751
-292.602970,1208.008286
-288.069848,1210.116209
-283.536646,1212.223978
-279.004940,1214.335037
-274.476080,1216.452162
-269.950648,1218.576553
-265.428852,1220.708724
-260.911027,1222.849303
-256.397467,1224.998861
-251.888475,1227.157997
-247.384365,1229.327297
-242.885449,1231.507354
-238.392052,1233.698758
-233.904499,1235.902102
-229.423126,1238.117978
-224.948272,1240.346982
-220.480287,1242.589707
-216.019521,1244.846742
-211.566334,1247.118691
-207.121121,1249.406108
-202.684251,1251.709561
-198.256479,1254.030533
-193.839438,1256.371940
-189.435106,1258.737140
-185.045413,1261.129350
-180.672572,1263.552206
-176.319815,1266.011172
-171.991438,1268.513039
-167.691564,1271.062866
-163.416856,1273.654297
-159.150765,1276.260532
-154.873748,1278.848799
-150.566283,1281.386361
-146.212293,1283.843412
-141.803193,1286.200579
-137.334453,1288.442667
-132.802522,1290.552547
-128.201425,1292.506864
-123.522438,1294.266786
-118.760948,1295.788405
-113.918278,1297.027871
-109.003423,1297.939034
-104.033917,1298.477800
-99.037681,1298.606392
-94.047221,1298.292051
-89.112931,1297.504888
-84.283199,1296.261369
-79.549603,1294.652105
-74.916811,1292.766948
-70.390177,1290.655311
-65.952387,1288.351221
-61.595832,1285.895963
-57.306408,1283.325253
-53.070943,1280.665474
-48.879843,1277.938121
-44.714827,1275.173203
-40.549896,1272.408330
-36.356870,1269.687563
-32.102429,1267.064643
-27.754798,1264.598989
-23.302061,1262.329236
-18.755990,1260.250602
-14.137723,1258.335104
-9.461313,1256.568249
-4.730341,1254.953987
