# x_m,y_m,kappa_radpm
-234.857334,368.057956,-0.00270609
-237.500810,372.298742,-0.00269024
-240.087211,376.574569,-0.00262469
-242.617603,380.883770,-0.00247636
-245.094840,385.223765,-0.00222992
-247.523756,389.591013,-0.00193298
-249.910245,393.981583,-0.00167069
-252.259631,398.392071,-0.00150226
-254.575479,402.820215,-0.00142687
-256.859500,407.264844,-0.00140257
-259.112285,411.725402,-0.00138747
-261.334129,416.201470,-0.00136363
-263.525451,420.692568,-0.00133250
-265.686825,425.198155,-0.00129986
-267.818883,429.717686,-0.00126805
-269.922258,434.250639,-0.00123699
-271.997571,438.796509,-0.00120640
-274.045440,443.354808,-0.00117616
-276.066482,447.925066,-0.00114610
-278.061316,452.506825,-0.00111604
-280.030567,457.099637,-0.00108592
-281.974866,461.703068,-0.00105582
-283.894849,466.316692,-0.00102578
-285.791158,470.940098,-0.00099583
-287.664434,475.572883,-0.00096597
-289.515325,480.214656,-0.00093630
-291.344476,484.865037,-0.00090703
-293.152529,489.523659,-0.00087749
-294.940145,494.190160,-0.00084580
-296.708021,498.864177,-0.00081458
-298.456804,503.545378,-0.00079718
-300.186864,508.233521,-0.00079483
-301.898455,512.928405,-0.00074693
-303.593026,517.629435,-0.00056566
-305.274475,522.335255,-0.00034692
-306.946215,527.044814,-0.00054527
-308.601392,531.760661,-0.00172676
-310.211629,536.492331,-0.00399072
-311.725178,541.255744,-0.00675333
-313.078207,546.067394,-0.00925484
-314.209754,550.937186,-0.01121662
-315.068010,555.864897,-0.01292038
-315.605657,560.840630,-0.01482613
-315.770694,565.845069,-0.01729014
-315.499632,570.846119,-0.02041661
-314.718226,575.793192,-0.02389974
-313.352295,580.612293,-0.02726358
-311.343487,585.201566,-0.03054109
-308.661057,589.427001,-0.03413182
-305.310427,593.127672,-0.03744417
-301.345882,596.143873,-0.03858469
-296.880574,598.361892,-0.03657555
-292.074086,599.744904,-0.03274512
-287.094996,600.327237,-0.02887989
-282.083164,600.183339,-0.02556857
-277.135001,599.399695,-0.02261297
-272.310143,598.061914,-0.01990896
-267.644158,596.249824,-0.01759973
-263.157838,594.033358,-0.01575449
-258.862296,591.470563,-0.01421100
-254.761042,588.610179,-0.01269378
-250.849685,585.496695,-0.01098693
-247.114650,582.174103,-0.00904377
-243.533374,578.686286,-0.00703587
-240.077870,575.074045,-0.00529478
-236.721220,571.370400,-0.00411648
-233.443786,567.597189,-0.00356053
-230.235607,563.765390,-0.00343306
-227.094235,559.878824,-0.00346166
-224.020539,555.938563,-0.00347647
-221.015605,551.945599,-0.00344778
-218.079866,547.901472,-0.00340828
-215.213451,543.807936,-0.00337247
-212.416387,539.666775,-0.00331518
-209.688141,535.480034,-0.00319936
-207.026939,531.250388,-0.00301281
-204.429530,526.981238,-0.00277799
-201.891566,522.676439,-0.00252932
-199.408228,518.339886,-0.00228618
